team,strength,win_percentage,avg_goals_for,avg_goals_against,matches,wins,home_win_percentage,away_win_percentage
south sudan,weak,0.0,0.4,1.7,10,0,0.0,0.0
spain,strong,61.458333333333336,2.078125,0.8125,192,118,68.81720430107528,54.54545454545454
sri lanka,weak,9.523809523809524,0.6428571428571429,2.4761904761904763,42,4,15.789473684210526,4.3478260869565215
sudan,weak,24.358974358974358,0.9230769230769231,1.4871794871794872,78,19,35.8974358974359,12.82051282051282
suriname,weak,36.17021276595745,1.6808510638297873,1.5957446808510638,47,17,43.47826086956522,29.166666666666668
sweden,strong,54.6875,1.875,1.0520833333333333,192,105,68.42105263157895,41.23711340206185
switzerland,medium,45.30386740331492,1.5193370165745856,1.2320441988950277,181,82,52.38095238095239,39.175257731958766
syria,medium,42.99065420560748,2.0,1.2149532710280373,107,46,54.71698113207547,31.48148148148148
são tomé and príncipe,weak,12.5,0.4375,2.4375,16,2,28.57142857142857,0.0
tahiti,weak,34.375,1.28125,1.65625,32,11,53.84615384615385,21.052631578947366
taiwan,weak,11.267605633802818,0.676056338028169,3.535211267605634,71,8,17.24137931034483,7.142857142857142
tajikistan,weak,38.0,1.76,1.48,50,19,48.0,28.000000000000004
tanzania,weak,24.489795918367346,0.9795918367346939,1.4081632653061225,49,12,29.166666666666668,20.0
thailand,weak,27.184466019417474,1.3009708737864079,1.6893203883495145,103,28,37.254901960784316,17.307692307692307
timor-leste,weak,0.0,0.3333333333333333,4.833333333333333,18,0,0.0,0.0
togo,weak,30.0,1.0125,1.325,80,24,46.34146341463415,12.82051282051282
tonga,weak,35.0,1.05,3.75,20,7,44.44444444444444,27.27272727272727
trinidad and tobago,medium,40.0,1.4727272727272727,1.4454545454545455,110,44,50.943396226415096,29.82456140350877
tunisia,strong,51.470588235294116,1.5808823529411764,0.8235294117647058,136,70,68.75,36.11111111111111
turkey,weak,38.92617449664429,1.5033557046979866,1.4966442953020134,149,58,45.07042253521127,33.33333333333333
turkmenistan,weak,39.62264150943396,1.490566037735849,1.6037735849056605,53,21,51.85185185185185,26.923076923076923
turks and caicos islands,weak,6.666666666666667,0.4666666666666667,4.6,15,1,14.285714285714285,0.0
uganda,weak,37.03703703703704,0.9259259259259259,1.2222222222222223,54,20,62.96296296296296,11.11111111111111
ukraine,medium,47.05882352941176,1.4941176470588236,0.8117647058823529,85,40,47.5,46.666666666666664
united arab emirates,medium,45.11278195488722,1.699248120300752,1.105263157894737,133,60,55.714285714285715,33.33333333333333
united states,medium,47.97687861271676,1.699421965317919,1.260115606936416,173,83,68.35443037974683,30.851063829787233
united states virgin islands,weak,14.285714285714285,0.42857142857142855,4.571428571428571,21,3,10.0,18.181818181818183
uruguay,medium,43.673469387755105,1.4122448979591837,1.110204081632653,245,107,59.29203539823009,30.303030303030305
uzbekistan,strong,54.310344827586206,1.8879310344827587,0.9913793103448276,116,63,63.793103448275865,44.827586206896555
vanuatu,weak,29.411764705882355,2.0588235294117645,3.235294117647059,17,5,20.0,33.33333333333333
venezuela,weak,18.023255813953487,0.8546511627906976,2.122093023255814,172,31,27.906976744186046,8.13953488372093
vietnam,weak,29.03225806451613,1.1129032258064515,1.7741935483870968,62,18,36.666666666666664,21.875
vietnam republic,weak,33.33333333333333,0.3333333333333333,1.6666666666666667,3,1,0.0,50.0
wales,weak,32.846715328467155,1.2554744525547445,1.3357664233576643,137,45,42.64705882352941,23.18840579710145
yemen,weak,22.727272727272727,1.0151515151515151,1.6363636363636365,66,15,30.303030303030305,15.151515151515152
yemen dpr,weak,0.0,2.0,3.5,2,0,0.0,0.0
yugoslavia,strong,52.52525252525253,1.8686868686868687,1.1111111111111112,99,52,65.78947368421053,44.26229508196721
zambia,medium,46.2962962962963,1.5185185185185186,0.9722222222222222,108,50,70.37037037037037,22.22222222222222
zimbabwe,weak,29.333333333333332,0.96,1.24,75,22,42.10526315789473,16.216216216216218
